"","x"
"1",7.891091871
"2",7.345586392
"3",10.5879199
"4",9.180379718
"5",9.22823158
"6",8.65084538
"7",10.10762539
"8",8.356875418
"9",10.46763165
"10",9.748501032
"11",8.095112319
"12",6.932100269
"13",12.04001603
"14",9.47842701
"15",5.780555973
"16",10.44455199
"17",9.990948635
"18",10.88767855
"19",12.282255
"20",11.86626696
"21",7.633257266
"22",7.915394032
"23",8.40687166
"24",4.887470099
"25",12.4587677
"26",8.488084941
"27",11.29126496
"28",7.819643596
"29",10.66647166
"30",12.97821006
"31",10.43390204
"32",11.35289252
"33",8.660439503
"34",11.1725753
"35",9.265713269
"36",7.929364834
"37",12.57689075
"38",12.23159166
"39",9.1125359
"40",8.614891845
"41",4.198544529
"42",10.51385533
"43",12.17604209
"44",11.35880106
"45",12.23158155
"46",5.759637456
"47",11.47053799
"48",5.270276633
"49",7.06051705
"50",9.459238395
"51",7.771030506
"52",12.61349151
"53",10.61552093
"54",4.853884901
"55",9.744366358
"56",11.05296541
"57",9.796021001
"58",9.805320336
"59",12.03805948
"60",11.71217463
"61",8.656212351
"62",8.505008193
"63",7.545180295
"64",7.796260711
"65",8.869614204
"66",9.766620855
"67",9.264913982
"68",9.928765915
"69",11.91222511
"70",8.32377627
"71",11.35753378
"72",5.54023862
"73",8.625094738
"74",11.88358982
"75",8.435699752
"76",7.451174477
"77",13.63075563
"78",7.014890258
"79",10.2624138
"80",8.831421762
"81",8.603329764
"82",4.372192203
"83",9.299554821
"84",11.23055294
"85",10.47247486
"86",12.15912559
"87",9.883094993
"88",9.532977154
"89",7.712606328
"90",10.04826066
"91",5.579134689
"92",10.2835943
"93",7.704774204
"94",11.11061719
"95",6.545627243
"96",8.549227876
"97",10.12453295
"98",10.37342707
"99",8.43027749
"100",10.89819999
"101",12.90965167
"102",11.57624279
"103",12.64453699
"104",8.788044915
"105",8.900959828
"106",4.823050533
"107",12.2558924
"108",12.03586774
"109",9.142246345
"110",5.970499374
"111",10.59299508
"112",7.788743219
"113",10.06450945
"114",9.352652405
"115",11.37855648
"116",9.563573196
"117",10.18106289
"118",12.60926307
"119",11.73222183
"120",4.284038686
"121",6.427140668
"122",13.05475172
"123",10.73096283
"124",8.537919772
"125",10.87492387
"126",9.580265096
"127",8.731828564
"128",8.419255892
"129",9.420482223
"130",9.963549074
"131",10.36221389
"132",8.496448061
"133",8.713070491
"134",8.118900485
"135",8.601046063
"136",7.7051515
"137",7.907771241
"138",8.755705087
"139",7.755338848
"140",10.17586007
"141",8.666017267
"142",11.0423211
"143",9.021957096
"144",7.932945035
"145",8.715738433
"146",13.48930225
"147",7.689524809
"148",6.207290319
"149",9.152509659
"150",13.52247072
"151",8.313062909
"152",10.65210707
"153",8.28208371
"154",7.562671043
"155",8.524723785
"156",9.907097284
"157",11.94875638
"158",10.70938442
"159",9.860918205
"160",11.07394682
"161",11.43125888
"162",10.29240468
"163",9.182725307
"164",9.039642517
"165",10.85406762
"166",10.29466622
"167",9.502768497
"168",10.14747121
"169",4.577231864
"170",10.17544736
"171",5.327391919
"172",10.92699346
"173",11.58163731
"174",9.050531831
"175",8.732657072
"176",7.748710664
"177",6.603020164
"178",9.615629909
"179",7.51509268
"180",6.983661026
"181",6.702994908
"182",9.880063619
"183",14.92085179
"184",8.842098014
"185",9.959262452
"186",9.695186588
"187",8.448056115
"188",9.033370804
"189",12.08381662
"190",5.740190495
"191",12.60428617
"192",6.280939738
"193",9.469007667
"194",5.873154264
"195",10.29592443
"196",12.45497767
"197",7.625766583
"198",12.23242338
"199",10.4887574
"200",10.34351197
"201",10.41129123
"202",8.193224278
"203",6.788420229
"204",6.86546692
"205",11.49410464
"206",6.866512379
"207",7.736442862
"208",10.56838169
"209",12.13625419
"210",10.59562785
"211",9.130145343
"212",11.79784902
"213",9.244243221
"214",11.53990166
"215",11.73073026
"216",10.71084649
"217",8.902162416
"218",9.016498798
"219",9.303098355
"220",9.08611823
"221",10.41983006
"222",13.03913358
"223",5.382636727
"224",10.0145043
"225",8.897283569
"226",7.537148687
"227",7.431981694
"228",6.677208791
"229",9.221016768
"230",9.523322033
